107.029999 1:1 
108.00 1:4 
108.300003 1:5 
109.120003 1:6 
107.169998 1:7 
105.309998 1:8 
104.849998 1:11 
104.290001 1:12 
101.110001 1:13 
96.300003 1:14 
96.190002 1:15 
98.120003 1:18 
97.349998 1:20 
94.059998 1:21 
93.860001 1:22 
90.949997 1:25 
92.230003 1:26 
92.120003 1:27 
94.139999 1:28 
94.690002 1:29 
91.199997 1:32 
89.50 1:33 
88.860001 1:34 
75.870003 1:35 
76.110001 1:36 
72.160004 1:39 
72.290001 1:40 
70.919998 1:41 
73.029999 1:42 
75.660004 1:43 
75.389999 1:46 
76.269997 1:47 
76.190002 1:48 
76.489998 1:49 
76.57 1:50 
79.18 1:53 
79.129997 1:54 
75.580002 1:55 
76.440002 1:56 
75.699997 1:57 
75.269997 1:60 
78.209999 1:61 
