1457500 1:1 
1344800 1:4 
2799700 1:5 
2397800 1:6 
1812000 1:7 
2147800 1:8 
1643600 1:11 
1845700 1:12 
2039300 1:13 
957300 1:14 
1381600 1:15 
690700 1:18 
1231100 1:20 
2014500 1:21 
1749400 1:22 
2891800 1:25 
2067600 1:26 
2917600 1:27 
2430100 1:28 
2571200 1:29 
2972500 1:32 
5024800 1:33 
4217700 1:34 
1563200 1:35 
1899900 1:36 
2170400 1:39 
2910300 1:40 
1470400 1:41 
1430700 1:42 
1146100 1:43 
1100700 1:46 
2403500 1:47 
1663600 1:48 
994900 1:49 
1052500 1:50 
976200 1:53 
931400 1:54 
584700 1:55 
637900 1:56 
884800 1:57 
1313800 1:60 
977000 1:61 
