2872700 1:0 
3377300 1:1 
3426800 1:4 
3177200 1:5 
2904300 1:6 
3374600 1:7 
4237700 1:8 
5080800 1:11 
5262000 1:12 
3792000 1:13 
2239600 1:14 
3364500 1:15 
1582700 1:18 
3417000 1:20 
3797200 1:21 
3106800 1:22 
2286300 1:25 
3048900 1:26 
3698500 1:27 
5935100 1:28 
5462700 1:29 
4574000 1:32 
7306100 1:33 
13239300 1:34 
6617900 1:35 
4126500 1:36 
3646700 1:39 
5653300 1:40 
4032200 1:41 
3967300 1:42 
3469500 1:43 
3780500 1:46 
2693300 1:47 
4732300 1:48 
4391800 1:49 
3107600 1:50 
3947400 1:53 
4502800 1:54 
3347600 1:55 
3121000 1:56 
3899900 1:57 
2872600 1:60 
4824400 1:61 
