98.400002 1:0 2:2060900 
98.059998 1:1 2:1769800 
98.220001 1:4 2:3350600 
98.190002 1:5 2:2075600 
97.57 1:6 2:2245300 
96.00 1:7 2:1817800 
96.050003 1:8 2:2485700 
95.239998 1:11 2:1711200 
95.769997 1:12 2:2056600 
96.019997 1:13 2:2812500 
97.040001 1:14 2:1590600 
96.57 1:15 2:1968300 
96.919998 1:18 2:724400 
96.650002 1:20 2:2968000 
96.389999 1:21 2:2433500 
95.589996 1:22 2:2252000 
94.389999 1:25 2:1636600 
94.379997 1:26 2:2031800 
93.269997 1:27 2:1962000 
92.339996 1:28 2:2034100 
91.889999 1:29 2:2961400 
91.080002 1:32 2:2097600 
91.389999 1:33 2:2555400 
90.900002 1:34 2:2861300 
91.150002 1:35 2:1668300 
90.599998 1:36 2:2244800 
89.080002 1:39 2:2093200 
89.330002 1:40 2:2514200 
89.980003 1:41 2:5356600 
86.919998 1:42 2:3065600 
87.059998 1:43 2:2488100 
87.160004 1:46 2:2129300 
86.660004 1:47 2:1773700 
87.190002 1:48 2:1331500 
87.50 1:49 2:1299200 
87.669998 1:50 2:1025500 
86.720001 1:53 2:1277700 
86.839996 1:54 2:1419900 
87.43 1:55 2:906400 
87.379997 1:56 2:1109600 
87.239998 1:57 2:1235300 
87.559998 1:60 2:1381300 
86.889999 1:61 2:1367100 
