105.809998 1:1 2:1449400 
105.220001 1:4 2:1324600 
104.449997 1:5 2:1272500 
104.419998 1:6 2:1550300 
104.610001 1:7 2:2000300 
101.43 1:8 2:1788500 
100.199997 1:11 2:1155000 
99.790001 1:12 2:1547800 
101.860001 1:13 2:1942700 
103.400002 1:14 2:2149700 
101.980003 1:15 2:1586700 
102.360001 1:18 2:708300 
101.00 1:20 2:1479500 
100.809998 1:21 2:3092700 
102.089996 1:22 2:1707700 
100.639999 1:25 2:2408500 
100.800003 1:26 2:1650200 
100.879997 1:27 2:1326500 
101.449997 1:28 2:3266700 
97.989998 1:29 2:4404900 
98.029999 1:32 2:2873200 
100.68 1:33 2:2691800 
101.620003 1:34 2:3791900 
101.830002 1:35 2:5193100 
104.449997 1:36 2:2160300 
103.010002 1:39 2:2452500 
102.540001 1:40 2:2233100 
102.019997 1:41 2:2947400 
103.760002 1:42 2:5159800 
105.400002 1:43 2:10077300 
122.550003 1:46 2:2312200 
120.989998 1:47 2:1580900 
121.080002 1:48 2:2060600 
125.589996 1:49 2:963800 
127.989998 1:50 2:788700 
127.519997 1:53 2:699500 
128.210007 1:54 2:897000 
128.080002 1:55 2:772300 
129.100006 1:56 2:1296800 
126.620003 1:57 2:740600 
127.150002 1:60 2:1307100 
126.910004 1:61 2:860500 
