90.82 1:1 2:3774000 
90.239998 1:4 2:4230600 
89.389999 1:5 2:4242100 
89.870003 1:6 2:4827900 
88.18 1:7 2:3482100 
87.769997 1:8 2:5140600 
88.080002 1:11 2:4817500 
87.769997 1:12 2:6166600 
88.279999 1:13 2:8063100 
90.599998 1:14 2:4075700 
90.239998 1:15 2:4965200 
89.290001 1:18 2:3850500 
88.889999 1:20 2:4896600 
90.00 1:21 2:4829800 
89.620003 1:22 2:4979000 
89.089996 1:25 2:6139600 
89.269997 1:26 2:8700600 
87.919998 1:27 2:8188500 
87.50 1:28 2:8258700 
87.330002 1:29 2:11886300 
88.949997 1:32 2:7749800 
90.50 1:33 2:14941100 
94.349998 1:34 2:8797000 
97.860001 1:35 2:3216400 
97.330002 1:36 2:4722600 
95.489998 1:39 2:3101900 
96.230003 1:40 2:2569900 
96.050003 1:41 2:3820900 
96.080002 1:42 2:3978500 
96.440002 1:43 2:3327200 
96.309998 1:46 2:4147000 
95.779999 1:47 2:3612900 
96.050003 1:48 2:3312900 
96.580002 1:49 2:3456300 
96.910004 1:50 2:4105300 
96.309998 1:53 2:5274800 
95.57 1:54 2:3872600 
95.980003 1:55 2:5552000 
96.559998 1:56 2:6262300 
95.510002 1:57 2:4097900 
95.830002 1:60 2:3156300 
96.199997 1:61 2:4769000 
