34.990002 1:1 2:14901700 
38.619999 1:4 2:3251200 
38.799999 1:5 2:4834100 
38.009998 1:6 2:4700800 
36.540001 1:7 2:3020200 
36.630001 1:8 2:3927300 
36.52 1:11 2:2542700 
37.259998 1:12 2:3677500 
37.48 1:13 2:4316500 
36.950001 1:14 2:3380000 
36.790001 1:15 2:2223100 
37.639999 1:18 2:1323900 
37.25 1:20 2:1751400 
37.23 1:21 2:4249200 
37.209999 1:22 2:2711400 
37.77 1:25 2:2745200 
38.610001 1:26 2:2212100 
38.580002 1:27 2:2089000 
38.610001 1:28 2:2872300 
38.860001 1:29 2:2209600 
38.419998 1:32 2:2825800 
38.009998 1:33 2:3421000 
37.98 1:34 2:4043100 
37.349998 1:35 2:3430800 
37.560001 1:36 2:2921400 
36.560001 1:39 2:3315900 
36.68 1:40 2:3069000 
35.869999 1:41 2:3799100 
36.68 1:42 2:3126500 
37.560001 1:43 2:2816900 
37.599998 1:46 2:2272400 
37.720001 1:47 2:3003100 
37.75 1:48 2:2547200 
37.43 1:49 2:2780300 
37.450001 1:50 2:3647600 
37.509998 1:53 2:7257400 
36.50 1:54 2:4619000 
36.369999 1:55 2:3059000 
36.139999 1:56 2:4753600 
36.09 1:57 2:4127100 
36.00 1:60 2:4680600 
35.82 1:61 2:6843600 
