74.839996 1:0 2:12582000 
73.470001 1:1 2:9475900 
72.699997 1:4 2:9936300 
72.019997 1:5 2:12333500 
72.779999 1:6 2:13061000 
72.470001 1:7 2:8723900 
72.360001 1:8 2:9985900 
72.419998 1:11 2:9227900 
72.839996 1:12 2:8270200 
73.699997 1:13 2:10627300 
74.870003 1:14 2:7160700 
74.540001 1:15 2:9338900 
75.440002 1:18 2:3068600 
75.300003 1:20 2:6849200 
74.459999 1:21 2:6019600 
74.980003 1:22 2:6810600 
74.620003 1:25 2:8194300 
75.580002 1:26 2:9413500 
76.00 1:27 2:8415000 
76.349998 1:28 2:8560100 
76.75 1:29 2:8832800 
76.419998 1:32 2:12949600 
77.839996 1:33 2:16651800 
78.470001 1:34 2:26693700 
74.040001 1:35 2:7449600 
74.00 1:36 2:9513500 
72.43 1:39 2:11779500 
71.760002 1:40 2:9286200 
72.510002 1:41 2:14620000 
74.07 1:42 2:10741600 
73.629997 1:43 2:8457000 
73.879997 1:46 2:13160000 
75.830002 1:47 2:9596400 
75.379997 1:48 2:8333000 
74.410004 1:49 2:6140800 
74.150002 1:50 2:7404000 
74.290001 1:53 2:8256500 
74.309998 1:54 2:10351400 
73.339996 1:55 2:6326400 
73.410004 1:56 2:6353500 
72.639999 1:57 2:8181400 
72.75 1:60 2:7359100 
73.059998 1:61 2:10586100 
