50.400002 1:0 2:815200 
50.169998 1:1 2:846400 
49.82 1:4 2:682100 
49.970001 1:5 2:585500 
49.700001 1:6 2:798700 
48.630001 1:7 2:454400 
48.490002 1:8 2:507300 
48.040001 1:11 2:439500 
47.689999 1:12 2:698600 
48.060001 1:13 2:1128900 
48.57 1:14 2:548600 
48.540001 1:15 2:772100 
49.529999 1:18 2:281300 
49.080002 1:20 2:649700 
49.25 1:21 2:611900 
49.200001 1:22 2:561000 
48.860001 1:25 2:480300 
48.790001 1:26 2:815900 
48.790001 1:27 2:542200 
48.990002 1:28 2:1038000 
49.439999 1:29 2:1368100 
47.880001 1:32 2:960700 
47.619999 1:33 2:987500 
46.799999 1:34 2:1233800 
46.490002 1:35 2:1002500 
45.720001 1:36 2:810500 
45.049999 1:39 2:959100 
44.889999 1:40 2:1029400 
45.060001 1:41 2:944500 
45.549999 1:42 2:1209200 
45.880001 1:43 2:2764400 
45.669998 1:46 2:2002800 
44.389999 1:47 2:1927200 
44.84 1:48 2:1129700 
45.099998 1:49 2:1628200 
45.040001 1:50 2:801400 
44.93 1:53 2:1411200 
45.380001 1:54 2:1034000 
46.00 1:55 2:581900 
45.77 1:56 2:593500 
45.650002 1:57 2:565600 
45.73 1:60 2:652600 
45.720001 1:61 2:617800 
