72.290001 1:0 2:1781600 
73.010002 1:1 2:1212400 
74.360001 1:4 2:1330200 
75.120003 1:5 2:1471500 
74.610001 1:6 2:1473600 
72.18 1:7 2:1635200 
71.970001 1:8 2:1396500 
71.910004 1:11 2:1631200 
72.260002 1:12 2:2732000 
70.220001 1:13 2:3179600 
71.949997 1:14 2:2279200 
71.769997 1:15 2:2946600 
71.809998 1:18 2:1497100 
72.080002 1:20 2:2230600 
70.830002 1:21 2:1920600 
69.209999 1:22 2:1523500 
70.169998 1:25 2:2666500 
69.639999 1:26 2:3989000 
67.93 1:27 2:3312800 
68.709999 1:28 2:2141400 
70.339996 1:29 2:3455100 
69.169998 1:32 2:1633600 
68.129997 1:33 2:2650400 
66.480003 1:34 2:2492800 
65.18 1:35 2:2805300 
65.709999 1:36 2:2636400 
65.00 1:39 2:1859500 
65.089996 1:40 2:1898400 
65.660004 1:41 2:3422000 
66.50 1:42 2:12283100 
72.190002 1:43 2:2908400 
73.709999 1:46 2:2180300 
72.739998 1:47 2:1383000 
72.769997 1:48 2:1083200 
72.720001 1:49 2:1155400 
73.190002 1:50 2:853800 
72.50 1:53 2:883000 
72.239998 1:54 2:1068600 
72.470001 1:55 2:1151700 
72.089996 1:56 2:1445400 
72.25 1:57 2:1222800 
73.230003 1:60 2:1893300 
72.699997 1:61 2:2005400 
