36.27 1:0 2:7530700 
35.939999 1:1 2:6630200 
36.529999 1:4 2:5657800 
36.650002 1:5 2:6645100 
36.18 1:6 2:6094500 
35.66 1:7 2:4998000 
35.110001 1:8 2:5894500 
34.490002 1:11 2:7102600 
35.07 1:12 2:9958100 
34.560001 1:13 2:8500200 
33.799999 1:14 2:4276000 
33.900002 1:15 2:6130700 
34.700001 1:18 2:3019500 
34.959999 1:20 2:11393300 
33.970001 1:21 2:8141300 
33.619999 1:22 2:7122100 
33.619999 1:25 2:7038900 
33.43 1:26 2:10398000 
32.610001 1:27 2:9094700 
33.34 1:28 2:10570700 
33.720001 1:29 2:12311900 
32.48 1:32 2:16839000 
31.610001 1:33 2:11400100 
30.219999 1:34 2:11465000 
28.700001 1:35 2:5310100 
29.110001 1:36 2:6612600 
28.219999 1:39 2:5897700 
28.129999 1:40 2:4990500 
28.42 1:41 2:6112400 
28.559999 1:42 2:7629200 
28.59 1:43 2:6857200 
29.10 1:46 2:7759600 
28.940001 1:47 2:5431600 
28.700001 1:48 2:5130800 
28.58 1:49 2:5785600 
28.790001 1:50 2:9113400 
28.23 1:53 2:13331900 
27.129999 1:54 2:10757400 
27.00 1:55 2:4252100 
26.639999 1:56 2:6983700 
26.42 1:57 2:5834100 
26.700001 1:60 2:6678400 
26.370001 1:61 2:5588500 
