24.700001 1:1 2:6064600 
24.82 1:4 2:9532800 
24.559999 1:5 2:6467500 
24.440001 1:6 2:9670000 
24.200001 1:7 2:11035800 
24.35 1:8 2:9090400 
23.51 1:11 2:8981200 
23.76 1:12 2:10150800 
24.389999 1:13 2:9624900 
24.32 1:14 2:7357100 
24.40 1:15 2:8070600 
24.82 1:18 2:3645600 
24.85 1:20 2:10960300 
25.110001 1:21 2:13273300 
24.52 1:22 2:25801000 
23.75 1:25 2:6648600 
23.83 1:26 2:9184100 
23.90 1:27 2:12912500 
24.219999 1:28 2:9144700 
24.629999 1:29 2:10882800 
25.00 1:32 2:12334600 
25.049999 1:33 2:11951800 
24.84 1:34 2:9624200 
24.709999 1:35 2:8529400 
24.40 1:36 2:11674000 
23.49 1:39 2:24774900 
25.450001 1:40 2:12643500 
25.23 1:41 2:12137900 
25.219999 1:42 2:8693100 
25.030001 1:43 2:6056100 
24.879999 1:46 2:6069200 
24.93 1:47 2:7365300 
25.030001 1:48 2:8319600 
24.99 1:49 2:8325600 
24.90 1:50 2:8597500 
24.08 1:53 2:5837300 
24.200001 1:54 2:4182800 
24.23 1:55 2:5390000 
24.219999 1:56 2:8454900 
24.190001 1:57 2:5654600 
24.09 1:60 2:7901300 
24.280001 1:61 2:11881800 
