35.669998 1:1 2:2913700 
35.580002 1:4 2:3184700 
35.099998 1:5 2:2838600 
34.580002 1:6 2:1194800 
33.959999 1:7 2:1507700 
33.740002 1:8 2:2527900 
33.799999 1:11 2:1568200 
34.09 1:12 2:2778700 
33.720001 1:13 2:5003600 
32.360001 1:14 2:1829200 
32.27 1:15 2:1959900 
32.880001 1:18 2:708600 
32.779999 1:20 2:2087000 
32.220001 1:21 2:2115000 
32.279999 1:22 2:1251700 
31.92 1:25 2:2349300 
32.25 1:26 2:2862400 
32.23 1:27 2:2657600 
33.040001 1:28 2:3706800 
31.790001 1:29 2:3740100 
31.41 1:32 2:3018800 
31.360001 1:33 2:2967000 
30.690001 1:34 2:6407900 
29.00 1:35 2:1918900 
28.629999 1:36 2:1569600 
28.08 1:39 2:3104100 
28.309999 1:40 2:5044400 
28.49 1:41 2:3343600 
28.35 1:42 2:3502400 
28.75 1:43 2:1617800 
28.559999 1:46 2:1864900 
28.190001 1:47 2:1784200 
28.42 1:48 2:1546000 
28.41 1:49 2:2594900 
28.49 1:50 2:1369800 
28.27 1:53 2:1406500 
28.34 1:54 2:1614300 
28.209999 1:55 2:1819000 
27.91 1:56 2:1250500 
27.610001 1:57 2:2878300 
27.940001 1:60 2:1583100 
27.879999 1:61 2:2457300 
