MMM
ABBV
AAP
AET
APD
ALB
ALXN
AMP
AME
AON
ADM
ARNC
AIZ
AN
AVY
BHI
BAC
BDX
BBY
HRB
BA
BWA
BXP
CHRW
KMX
CERN
CF
SCHW
CMG
CHD
CINF
CFG
CMS
KO
CMA
CAG
COST
DRI
DVA
DE
DAL
DG
DOW
DPS
DD
ETFC
ETN
EBAY
EMR
EVHC
EFX
EXPE
EXPD
EXR
FAST
FIS
FSLR
FLIR
FLS
FLR
FMC
FTI
FL
F
FTV
BEN
FCX
FTR
GPS
GE
GGP
GIS
HBI
HIG
HAS
HCA
HPQ
HBAN
ITW
ICE
IP
IFF
IVZ
IRM
JEC
JBHT
KEY
KSS
LB
LUK
LNC
LMT
MAC
MMC
MLM
MJN
MDT
MON
MS
MOS
NAVI
NWSA
NWS
NLSN
JWN
NSC
NOC
NUE
PH
PYPL
PNR
RL
PPG
PGR
PHM
PVH
QRVO
PWR
RTN
O
REGN
RF
RHI
ROK
RCL
R
SHW
SIG
SLG
SNA
SWN
SWK
STT
TGNA
HSY
TIF
TWX
TSS
RIG
UDR
UA
UNP
UAL
URI
UTX
UHS
URBN
VIAB
VNO
DIS
WY
WYN
XRX
XL
XYL
YUM
ZION
