Date,Open,High,Low,Close,Volume,Adj Close
2016-12-13,90.830002,92.589996,90.019997,91.620003,1625100,91.620003
2016-12-12,92.529999,92.589996,89.849998,90.360001,2187500,90.360001
2016-12-09,90.809998,90.919998,89.639999,90.18,1771300,90.18
2016-12-08,92.339996,93.019997,90.129997,90.940002,2532900,90.940002
2016-12-07,88.75,93.059998,88.519997,92.00,3022400,92.00
2016-12-06,88.25,89.400002,87.419998,88.730003,2731200,88.730003
2016-12-05,85.529999,88.790001,85.209999,88.610001,4793100,88.610001
2016-12-02,82.589996,85.300003,82.470001,84.910004,2508300,84.910004
2016-12-01,82.18,83.779999,81.349998,82.209999,2205000,82.209999
2016-11-30,82.510002,83.330002,80.559998,81.349998,3827800,81.349998
2016-11-29,83.660004,84.57,81.900002,82.160004,2343100,82.160004
2016-11-28,86.400002,86.400002,84.120003,84.360001,1600900,84.360001
2016-11-25,86.120003,86.660004,85.650002,86.480003,880800,85.930001
2016-11-23,86.959999,87.550003,85.669998,86.040001,1815500,85.492797
2016-11-22,85.169998,87.82,84.540001,87.25,3108200,86.695101
2016-11-21,84.239998,84.940002,82.419998,84.699997,3596800,84.161316
2016-11-18,85.860001,85.860001,83.120003,83.220001,3917500,82.690732
2016-11-17,87.839996,90.540001,85.800003,86.559998,8929900,86.009487
2016-11-16,86.110001,87.400002,85.620003,85.739998,1478600,85.194702
2016-11-15,86.669998,87.120003,85.150002,86.029999,1568100,85.482859
2016-11-14,85.400002,86.529999,84.709999,86.309998,1786700,85.761077
2016-11-11,84.32,85.559998,82.82,85.379997,1435700,84.836991
2016-11-10,83.239998,85.769997,83.199997,84.610001,2766400,84.071892
2016-11-09,79.669998,83.800003,79.029999,83.239998,2488500,82.710602
2016-11-08,80.25,80.830002,79.550003,79.959999,1159600,79.451463
2016-11-07,80.870003,81.629997,79.860001,80.43,1339400,79.918476
2016-11-04,79.660004,81.25,79.169998,79.919998,1308400,79.411717
2016-11-03,80.00,80.660004,78.32,79.660004,1685400,79.153376
2016-11-02,82.50,82.910004,79.010002,79.940002,2757600,79.431594
2016-11-01,88.480003,88.809998,82.599998,83.169998,3996800,82.641047
2016-10-31,83.120003,85.360001,83.050003,84.970001,2255400,84.429603
2016-10-28,82.769997,83.93,82.080002,83.519997,1495200,82.98882
2016-10-27,84.389999,84.550003,83.07,83.209999,1400500,82.680794
2016-10-26,82.32,84.410004,82.260002,84.330002,1527400,83.793674
2016-10-25,82.07,82.949997,81.169998,82.800003,1558600,82.273405
2016-10-24,81.910004,82.43,81.25,81.900002,1168500,81.379128
2016-10-21,80.260002,81.989998,79.790001,81.800003,1581200,81.279765
2016-10-20,79.330002,80.970001,79.089996,80.849998,1926700,80.335803
2016-10-19,82.230003,82.419998,79.50,79.82,2187700,79.312354
2016-10-18,81.300003,82.93,81.029999,81.440002,1519100,80.922054
2016-10-17,81.50,82.419998,80.169998,80.470001,1394800,79.958222
2016-10-14,82.300003,82.599998,80.839996,81.660004,1410900,81.140656
2016-10-13,80.00,81.989998,79.559998,81.760002,1728100,81.240019
