Date,Open,High,Low,Close,Volume,Adj Close
2016-12-13,764.960022,782.460022,762.00,774.340027,5244700,774.340027
2016-12-12,766.400024,766.890015,757.200012,760.119995,2956900,760.119995
2016-12-09,770.00,770.25,765.340027,768.659973,2458800,768.659973
2016-12-08,771.869995,773.789978,765.190002,767.330017,3185700,767.330017
2016-12-07,764.549988,770.419983,755.820007,770.419983,3655300,770.419983
2016-12-06,763.98999,768.23999,757.25,764.719971,3788300,764.719971
2016-12-05,745.00,761.48999,742.00,759.359985,4298200,759.359985
2016-12-02,743.400024,748.48999,736.700012,740.340027,3499200,740.340027
2016-12-01,752.409973,753.369995,738.030029,743.650024,4626500,743.650024
2016-11-30,762.00,768.090027,750.25,750.570007,4580100,750.570007
2016-11-29,768.00,769.890015,761.320007,762.52002,3266500,762.52002
2016-11-28,776.98999,777.00,764.23999,766.77002,4380900,766.77002
2016-11-25,786.50,786.75,777.900024,780.369995,1832300,780.369995
2016-11-23,781.72998,781.75,773.119995,780.119995,3522500,780.119995
2016-11-22,788.169983,792.400024,781.00,785.330017,5304900,785.330017
2016-11-21,766.00,780.349976,765.109985,780.00,4595600,780.00
2016-11-18,761.00,767.73999,757.640015,760.159973,4301300,760.159973
2016-11-17,749.320007,757.50,748.00,756.400024,3651300,756.400024
2016-11-16,739.880005,749.869995,735.609985,746.48999,3601400,746.48999
2016-11-15,730.00,746.780029,725.98999,743.23999,6744600,743.23999
2016-11-14,745.51001,746.00,710.099976,719.070007,7283200,719.070007
2016-11-11,735.72998,743.26001,728.900024,739.01001,6594400,739.01001
2016-11-10,778.809998,778.830017,717.700012,742.380005,12742300,742.380005
2016-11-09,764.00,777.50,760.090027,771.880005,8550400,771.880005
2016-11-08,784.969971,791.73999,779.099976,787.75,3373300,787.75
2016-11-07,771.640015,787.72998,770.940002,784.929993,5984400,784.929993
2016-11-04,762.789978,766.00,753.22998,755.049988,5122100,755.049988
2016-11-03,765.049988,777.00,764.00,767.030029,3872500,767.030029
2016-11-02,783.929993,784.75,763.549988,765.559998,5026500,765.559998
2016-11-01,799.00,800.840027,776.710022,785.409973,5305400,785.409973
2016-10-31,781.030029,793.700012,780.109985,789.820007,5413300,789.820007
2016-10-28,782.00,789.48999,774.609985,776.320007,10841100,776.320007
2016-10-27,831.23999,831.719971,815.429993,818.359985,7406400,818.359985
2016-10-26,832.76001,833.440002,820.00,822.590027,3998100,822.590027
2016-10-25,839.299988,843.090027,833.219971,835.179993,3248400,835.179993
2016-10-24,824.950012,838.299988,822.210022,838.090027,4060900,838.090027
2016-10-21,809.359985,819.419983,809.00,818.98999,2793000,818.98999
2016-10-20,813.98999,815.710022,803.099976,810.320007,3152000,810.320007
2016-10-19,820.400024,820.669983,815.169983,817.690002,2090700,817.690002
2016-10-18,822.109985,823.26001,815.02002,817.650024,2512500,817.650024
2016-10-17,821.50,822.00,811.679993,812.950012,3361500,812.950012
2016-10-14,835.080017,835.73999,822.960022,822.960022,2999800,822.960022
2016-10-13,829.00,831.799988,821.210022,829.280029,3091400,829.280029
