Date,Open,High,Low,Close,Volume,Adj Close
2016-12-13,218.529999,218.75,215.75,218.380005,853600,218.380005
2016-12-12,217.449997,218.839996,215.339996,217.669998,803700,217.669998
2016-12-09,222.00,224.399994,218.309998,219.130005,894700,217.130001
2016-12-08,219.630005,221.75,218.580002,221.059998,1016500,219.042378
2016-12-07,215.660004,221.619995,214.339996,221.009995,1108900,218.992832
2016-12-06,213.360001,215.910004,212.039993,214.710007,1084800,212.750344
2016-12-05,209.119995,212.880005,205.929993,212.449997,1258500,210.510961
2016-12-02,208.460007,214.869995,208.460007,209.479996,1004100,207.568067
2016-12-01,208.160004,210.770004,206.00,207.860001,1110400,205.962858
2016-11-30,208.25,211.850006,207.389999,209.300003,1655300,207.389718
2016-11-29,210.070007,212.779999,207.619995,209.610001,753900,207.696886
2016-11-28,206.029999,210.369995,206.029999,209.490005,1060000,207.577986
2016-11-25,204.619995,208.339996,204.589996,205.729996,324800,203.852294
2016-11-23,204.589996,205.440002,202.880005,204.759995,553800,202.891146
2016-11-22,203.289993,205.25,200.720001,205.100006,1231300,203.228054
2016-11-21,203.970001,205.990005,201.75,201.929993,771400,200.086973
2016-11-18,204.550003,206.169998,201.699997,203.970001,860000,202.108363
2016-11-17,208.589996,209.029999,204.309998,204.610001,578700,202.742521
2016-11-16,211.880005,212.119995,206.809998,208.210007,811600,206.30967
2016-11-15,216.770004,219.220001,211.339996,212.119995,1097200,210.183972
2016-11-14,213.940002,217.360001,208.600006,216.449997,1111600,214.474453
2016-11-11,215.289993,218.360001,213.429993,214.179993,1218500,212.225167
2016-11-10,217.529999,218.429993,211.259995,214.740005,1786700,212.780069
2016-11-09,210.630005,218.729996,206.649994,217.460007,1517700,215.475245
2016-11-08,211.990005,217.270004,210.910004,216.380005,1059900,214.4051
2016-11-07,208.279999,211.860001,206.710007,211.729996,610500,209.797532
2016-11-04,204.009995,205.800003,202.300003,205.440002,933400,203.564947
2016-11-03,205.309998,205.309998,202.779999,203.759995,811900,201.900273
2016-11-02,206.259995,207.830002,205.130005,205.259995,758500,203.386582
2016-11-01,213.259995,213.259995,205.00,205.720001,1332600,203.84239
2016-10-31,209.089996,213.869995,208.00,213.720001,1183300,211.769374
2016-10-28,203.690002,208.889999,203.690002,207.75,1185100,205.853861
2016-10-27,210.119995,210.880005,200.649994,202.25,2070600,200.40406
2016-10-26,212.050003,213.75,210.889999,213.279999,782600,211.333388
2016-10-25,210.029999,212.419998,209.759995,212.350006,704900,210.411883
2016-10-24,210.679993,213.009995,209.740005,211.50,1020400,209.569635
2016-10-21,213.070007,214.279999,210.910004,211.050003,847000,209.123745
2016-10-20,215.570007,216.449997,212.850006,214.119995,572900,212.165717
2016-10-19,215.910004,215.910004,213.279999,215.190002,671200,213.225959
2016-10-18,215.679993,216.470001,213.679993,215.830002,611400,213.860117
2016-10-17,214.220001,215.669998,213.610001,215.110001,541600,213.146687
2016-10-14,214.740005,215.720001,213.229996,214.199997,599100,212.244989
2016-10-13,211.369995,215.100006,211.119995,214.229996,546300,212.274714
